time,F_11,F_12,F_21,F_22,a0_x,a0_y,fiber_angle_deg,beta,beta_equilibrium,stimulus,strain_energy,sigma_11,sigma_12,sigma_21,sigma_22
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001110e-01,8.660254037844385966e-01,5.999999999999999289e+01,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.000024094939741870e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999759056408102920e-01,5.000000000000001110e-01,8.660254037844385966e-01,5.999999999999999289e+01,1.000000000000000056e-01,1.000000522496889144e-01,4.818929892691523954e-05,1.161104323799122540e-08,4.819046004983193227e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.818813784130041413e-04
1.000000000000000056e-01,1.000096370469909735e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999036388164628253e-01,5.000000006581283296e-01,8.660254034044680971e-01,5.999999995645858064e+01,1.000000003904068235e-01,1.000008357727516922e-01,1.927316531486129077e-04,1.857274511962714314e-07,1.927502270869183845e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.927130815966780243e-03
1.500000000000000222e-01,1.000216798726910605e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.997832482645896413e-01,5.000000111853788454e-01,8.660253973265570338e-01,5.999999925998129413e+01,1.000000066323379067e-01,1.000042292151360618e-01,4.335504589254330233e-04,9.398300182539287562e-07,4.336444555092467713e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.334564895058679902e-03
2.000000000000000111e-01,1.000385333283358991e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.996148151411873295e-01,5.000000644558455498e-01,8.660253665708356197e-01,5.999999573563549404e+01,1.000000381832450991e-01,1.000133580107402942e-01,7.705181231110274330e-04,2.968491037425025070e-06,7.708150484572718307e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.702213502498561279e-03
2.500000000000000000e-01,1.000601909165975467e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.993984529107313719e-01,5.000002327110193434e-01,8.660252694286272312e-01,5.999998460396169264e+01,1.000001377082659626e-01,1.000325857227753745e-01,1.203456182620187519e-03,7.241534791813108995e-06,1.204180626594977127e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.202732319636691007e-02
3.000000000000000444e-01,1.000866442880634199e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991343071927354380e-01,5.000006431548906782e-01,8.660250324584709558e-01,5.999995744920582297e+01,1.000003801580515994e-01,1.000675015359406561e-01,1.732135471360651997e-03,1.500147020605524517e-05,1.733636484533833746e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.730636190492541165e-02
3.500000000000000333e-01,1.001178832444552746e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.988225555651487619e-01,5.000014933910820192e-01,8.660245415729785901e-01,5.999990119799213772e+01,1.000008816853076438e-01,1.001249035219541755e-01,2.356276334314941212e-03,2.776020366246356730e-05,2.359054535037775555e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.353502494305361598e-02
4.000000000000000222e-01,1.001538957425607723e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.984634073250994168e-01,5.000030666481292130e-01,8.660236332470762077e-01,5.999979711198551513e+01,1.000018083696722904e-01,1.002127772052104765e-01,3.075548888357333872e-03,4.729504210487789351e-05,3.080283241173312203e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.070824232752575669e-02
4.500000000000000111e-01,1.001946678988763662e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.980571032075994387e-01,5.000057467325073057e-01,8.660220858814559053e-01,5.999961979850942839e+01,1.000033847172463047e-01,1.003402688690643724e-01,3.889573329309515323e-03,7.564399878701166813e-05,3.897147536612619034e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.882018736855200047e-02
5.000000000000000000e-01,1.002401839949596196e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.976039150629283370e-01,5.000100326411385243e-01,8.660196113588927158e-01,5.999933624358538964e+01,1.000059018971609925e-01,1.005176529690133963e-01,4.797920284653520162e-03,1.151004160915292118e-04,4.809448734335820125e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.786428651117713429e-02
5.500000000000000444e-01,1.002904264834890924e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.971041454935192228e-01,5.000165527560236356e-01,8.660158468353696959e-01,5.999890487243407478e+01,1.000097256731161260e-01,1.007562929596396567e-01,5.800111211233962769e-03,1.682069218711390590e-04,5.816964424013017915e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.783323039638863655e-02
6.000000000000000888e-01,1.003453759950290403e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.965581274512723686e-01,5.000260785334813551e-01,8.660103468125704973e-01,5.999827464311432834e+01,1.000153039829548562e-01,1.010685948005344420e-01,6.895618837191757819e-03,2.377487378080189728e-04,6.919448358375063224e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.871898610813549635e-02
6.500000000000000222e-01,1.004050113454967530e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.959662237963093911e-01,5.000395375894456373e-01,8.660025755431293160e-01,5.999738417966222670e+01,1.000231741142033198e-01,1.014679523856978488e-01,8.083867647307285687e-03,3.267463600664655132e-04,8.116630328933142902e-02,0.000000000000000000e+00,0.000000000000000000e+00,-8.051281056919783186e-02
7.000000000000000666e-01,1.004693095443293993e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.953288268182799436e-01,5.000580260706363189e-01,8.659918998248995470e-01,5.999616095180918052e+01,1.000339694182464240e-01,1.019686841442835334e-01,9.364234410839684247e-03,4.384476344077015142e-04,9.408216031427883708e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.320526504546461366e-02
7.500000000000000000e-01,1.005382458033473814e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.946463577214168517e-01,5.000828201894770286e-01,8.659775822452560057e-01,5.999452050908669065e+01,1.000484255006199724e-01,1.025859600912583658e-01,1.073604875088160493e-02,5.763192495522595493e-04,1.079388692142977391e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.067862307151922346e-01
8.000000000000000444e-01,1.006117935463105795e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.939192660746180019e-01,5.001153867887668802e-01,8.659587749408871327e-01,5.999236577784100177e+01,1.000673858199757627e-01,1.033357186676214234e-01,1.219859375417396349e-02,7.440376742495757867e-04,1.227330006054232481e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.212449252569269553e-01
8.500000000000000888e-01,1.006899244191640230e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.931480292279103450e-01,5.001573927907513317e-01,8.659345139424563520e-01,5.998958643035706473e+01,1.000918066238461746e-01,1.042345728040230124e-01,1.375110662026185135e-02,9.454795648933256302e-04,1.384608795369639545e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.365699204071768591e-01
9.000000000000000222e-01,1.007726083009689466e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.923331516967243138e-01,5.002107133748601164e-01,8.659037141767054191e-01,5.998605833589646608e+01,1.001227611456415867e-01,1.052997047711619338e-01,1.539277934880426552e-02,1.184711672028715412e-03,1.551185837805156842e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.527491604364590583e-01
9.500000000000000666e-01,1.008598133155149457e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.914751645154722404e-01,5.002774387195400019e-01,8.658651652008048094e-01,5.998164310395605270e+01,1.001614429846158782e-01,1.065487495467009882e-01,1.712275946379106240e-02,1.465980275177081182e-03,1.727019420405260797e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.697699814901723891e-01
1.000000000000000000e+00,1.009515058436089241e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.905746245619855284e-01,5.003598791368810694e-01,8.658175277448048046e-01,5.997618773041607199e+01,1.002091685891011302e-01,1.079996666321084431e-01,1.894015077336579089e-02,1.793700176695445236e-03,1.912065320922069489e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.876191317388139768e-01
1.050000000000000044e+00,1.010476505360357935e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.896321138544218465e-01,5.004605684247475095e-01,8.657593311376889922e-01,5.996952435743227028e+01,1.002673787634100894e-01,1.096706004930316225e-01,2.084401416389373984e-02,2.172443286263536777e-03,2.106276788528142763e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.062827922802868696e-01
1.100000000000000089e+00,1.011482103271864830e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.886482388222951334e-01,5.005822652604993150e-01,8.656889716905645793e-01,5.996147015789792079e+01,1.003376391206973056e-01,1.115797300712965678e-01,2.283336842688184556e-02,2.606926828505606863e-03,2.309604523927541730e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.257465987357409609e-01
1.150000000000000133e+00,1.012531464493472422e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.876236295533379339e-01,5.007279524637704426e-01,8.656047121067675931e-01,5.995182735502176996e+01,1.004216394079984476e-01,1.137451081213716880e-01,2.490719111728537105e-02,3.102001207024862595e-03,2.521996658929605561e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.459956634789106922e-01
1.200000000000000178e+00,1.013624184476453971e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.865589390179251295e-01,5.009008339637289753e-01,8.655046819829692595e-01,5.994038338700402591e+01,1.005211916358436930e-01,1.161844914533552431e-01,2.706441944172727904e-02,3.662637558652370728e-03,2.743398735555634405e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.670145984382593096e-01
1.250000000000000000e+00,1.014759841956455633e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.854548422728290902e-01,5.011043293193336856e-01,8.653868794576334844e-01,5.992691122591353547e+01,1.006382269534315393e-01,1.189151635103184723e-01,2.930395117510084177e-02,4.293915032285156030e-03,2.973753684749085302e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.887875384103349985e-01
1.300000000000000044e+00,1.015937999115900325e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.843120356461023679e-01,5.013420656597290526e-01,8.652491740533682085e-01,5.991116985865353683e+01,1.007747912214586872e-01,1.219537510604055963e-01,3.162464560399196045e-02,5.001007826965775394e-03,3.213001804761909108e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.112981648222609699e-01
1.350000000000000089e+00,1.017158201752776048e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.831312359048878236e-01,5.016178669364005360e-01,8.650893107478415667e-01,5.989290493633622248e+01,1.009330392483629713e-01,1.253160371318379485e-01,3.402532449535294184e-02,5.789172024066591149e-03,3.461080739294111197e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.345297298812776043e-01
1.400000000000000133e+00,1.018419979455738478e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.819131794079860587e-01,5.019357404091570052e-01,8.649049152941098439e-01,5.987184959646399562e+01,1.011152276718933624e-01,1.290167726485869637e-01,3.650477308880795135e-02,6.663732248632925348e-03,3.717925455462677276e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.584650810490019324e-01
1.450000000000000178e+00,1.019722845785464127e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.806586212449990292e-01,5.022998603243287175e-01,8.646935007956054742e-01,5.984772546004745664e+01,1.013237064864205561e-01,1.330694895217231499e-01,3.906174111097789059e-02,7.630068194739436649e-03,3.983468221680543375e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.830866857785755752e-01
