mu,k1_1,k1_2,k2_1,k2_2,kappa
2.424129032110947879e+00,3.212260234476750131e+00,1.247666533503370090e+00,4.620399919756148499e+00,6.920675607634703574e+00,1.832649090342786167e+02
2.385257908269986071e+00,3.190015893542037961e+00,1.603037313832872179e+00,4.395668950476750325e+00,4.506707438956373046e+00,1.814527242143717558e+02
2.436564810420475791e+00,3.134765892060082493e+00,1.724942595577253934e+00,4.756973502670582832e+00,3.393320606267998141e+00,1.834972514992352899e+02
2.323505207647868609e+00,3.634379430091161822e+00,1.722727026857141741e+00,3.435077519690926451e+00,4.884608824402600469e+00,1.812940451213572146e+02
2.461388013371661909e+00,3.118608507360126403e+00,1.167230674384804212e+00,4.400319662181854774e+00,7.354578201187711883e+00,1.817289055514414144e+02
2.451549987255679852e+00,3.000420661994711136e+00,1.391545123619378543e+00,5.346896080503357851e+00,5.729029372807262099e+00,1.847047566017585609e+02
2.386266813131880493e+00,3.178834401747180127e+00,1.464589104970737354e+00,4.668362618360341720e+00,5.180562713357907967e+00,1.839183387632739652e+02
2.372054233199498263e+00,3.226365660378051281e+00,1.434288830335316289e+00,4.690840971425016548e+00,5.821094363994684606e+00,1.824890429724368914e+02
2.360691547267099732e+00,3.274750807689251086e+00,1.430159899550330405e+00,4.462448100319094557e+00,5.898510347638561413e+00,1.824632024834861852e+02
2.373949008333614330e+00,3.359682063145772890e+00,1.461757038172728729e+00,3.970106167873561631e+00,5.407920760171741392e+00,1.846525485174186088e+02
2.286568214690179346e+00,3.585880543407963028e+00,1.669287687605038650e+00,3.604254073054476315e+00,5.269041533168258518e+00,1.836268390417514524e+02
2.449437207887260826e+00,3.177748482810301756e+00,1.250007800385094292e+00,4.421656045228799847e+00,6.398905743145127722e+00,1.835975071542627859e+02
2.344032218909911869e+00,3.417754082292534523e+00,1.528311246614257879e+00,4.015761952758823305e+00,4.880310492777984344e+00,1.810498177122377399e+02
2.486340990255557770e+00,3.178214291721205953e+00,1.343124750971642634e+00,4.772534536210996770e+00,4.821303934571662175e+00,1.809446066875044039e+02
2.446534549056670560e+00,3.148767980933968147e+00,1.435939087072586107e+00,4.911009237909481406e+00,4.645037954752324616e+00,1.817240023206533408e+02
2.393115777051328052e+00,3.235554561375527882e+00,1.643596179051874939e+00,4.610618514137482471e+00,4.256952026510296250e+00,1.804536051385198618e+02
2.456666421801541933e+00,3.024709123021283030e+00,1.317212569448263038e+00,5.398806508534240045e+00,5.861042106253566253e+00,1.825874681554395522e+02
2.332970239012433833e+00,3.552987298925880388e+00,1.587980672831974083e+00,3.603758948385725525e+00,5.311333690285271025e+00,1.789420306314134166e+02
2.448544429758448882e+00,2.998441268205115140e+00,1.417585325663480722e+00,5.011957336671334140e+00,5.028768088689036908e+00,1.796180077304667577e+02
2.457735089289561525e+00,3.135213686513032005e+00,1.214885400829570861e+00,4.773943418053024246e+00,6.422959669394729509e+00,1.832688487955255709e+02
2.403184603601026925e+00,3.163188686449304843e+00,1.504032639013226147e+00,4.791588515463138798e+00,5.310517748330083165e+00,1.821024595466134031e+02
2.454362819738234336e+00,3.177053426818470694e+00,1.176702480481823354e+00,4.619704798641361521e+00,6.408045075326734619e+00,1.799463732167041599e+02
2.389257780781834928e+00,3.316895012641102092e+00,1.220981446424203920e+00,4.221017478177667037e+00,6.660194798161824359e+00,1.814782180967964678e+02
2.372925991314846605e+00,3.656532821921253618e+00,1.547957617358693083e+00,2.866715295186789803e+00,5.348147548802435480e+00,1.807929569844827995e+02
2.359370432798828965e+00,3.236537184983042437e+00,1.695780869254998047e+00,4.545974875369060086e+00,4.904184707613886474e+00,1.807431199001541131e+02
2.385790276458450432e+00,3.143593590903859258e+00,1.835344547317232067e+00,4.764353502710505950e+00,3.336376022137844455e+00,1.804250089006825419e+02
2.415809327720090049e+00,3.079933311104763760e+00,1.506143016326274342e+00,4.755441835128241479e+00,5.226899603662960025e+00,1.800543409785680069e+02
2.408418922686164976e+00,3.130368859072345966e+00,1.482094933334535902e+00,4.737967546699210608e+00,5.481579410527361418e+00,1.784083284963274139e+02
2.386566893904574993e+00,3.159576346089071563e+00,1.530040103225318360e+00,4.863947968451018511e+00,5.029340544498753118e+00,1.815135483409121662e+02
2.431296220027789445e+00,3.286679481474690245e+00,1.282970553513049117e+00,4.427471710617508549e+00,5.830745035542336474e+00,1.801127704437265606e+02
2.408686594328544039e+00,3.179634391704827756e+00,1.623500360972933709e+00,4.784851825054152741e+00,4.406143572726538338e+00,1.812141187403721858e+02
2.424943471118855332e+00,3.323820894157765160e+00,1.257676712120101570e+00,4.209390748640955415e+00,6.418983633436035952e+00,1.799617676651426166e+02
2.377747464967268520e+00,3.271731725043838246e+00,1.792411362469524594e+00,4.531416292159076598e+00,3.368723526533111023e+00,1.799131947489341883e+02
