time,reconstructed_mean_beta,oracle_mean_beta,mean_beta_equilibrium,mean_stimulus,reconstructed_mean_strain_energy,oracle_mean_strain_energy,reconstructed_mean_sigma_xx,oracle_mean_sigma_xx,reconstructed_orientation_coherence,oracle_orientation_coherence,reconstructed_mean_orientation_angle_deg,oracle_mean_orientation_angle_deg,reconstructed_mean_target_alignment,oracle_mean_target_alignment
0.000000000000000000e+00,7.035409940329602207e-01,7.071276064338312128e-01,1.000000000000000194e-01,0.000000000000000000e+00,6.683145332902218095e-33,6.314529076374708092e-33,6.798408531206098788e-17,6.420380963469990505e-17,8.342360493392320109e-01,8.395222633287158231e-01,4.208922788098885093e+01,4.212002702481124317e+01,4.576915590127151323e-01,4.578724469780967032e-01
1.000000000000000056e-01,6.945554392617699913e-01,6.980886539605962726e-01,1.000104529845924073e-01,6.774824635078048130e-04,2.379833515900701578e-06,2.379159970481467795e-06,5.901607294121704109e-03,5.897857979941275967e-03,8.342360493392320109e-01,8.395222633287158231e-01,4.208922788098885093e+01,4.212002702481124317e+01,5.370617961672997653e-01,5.367564959725430462e-01
2.000000000000000111e-01,6.857038175973790839e-01,6.891844295823740252e-01,1.001666105996832229e-01,2.704989919856781548e-03,3.793114853079960477e-05,3.792053331073566385e-05,2.358610287586377155e-02,2.357130717112458640e-02,8.342360893950881984e-01,8.395223011559947990e-01,4.208921547000378638e+01,4.212001458824322242e+01,5.370463476778483125e-01,5.367410907074438020e-01
3.000000000000000444e-01,6.769863042949433307e-01,6.804150967184872112e-01,1.008377183585280196e-01,6.067753767542428435e-03,1.908396405433672558e-04,1.907868086718157892e-04,5.301940768535109288e-02,5.298659641733036163e-02,8.342367267972394806e-01,8.395229030387688640e-01,4.208901764785464650e+01,4.211981635829184967e+01,5.370232694815980645e-01,5.367181030311819478e-01
4.000000000000000222e-01,6.684085693499118852e-01,6.717863137047656030e-01,1.026198120648387502e-01,1.074132937008730887e-02,5.980138437831651870e-04,5.978500116475744287e-04,9.416100654641122725e-02,9.410357173035520384e-02,8.342399229873513899e-01,8.395259206446702427e-01,4.208802298716825874e+01,4.211881964677083090e+01,5.370016255169243191e-01,5.366966588414808781e-01
5.000000000000000000e-01,6.599850721595436065e-01,6.633125284524369336e-01,1.062995909269183331e-01,1.669184724275200177e-02,1.444184300500210702e-03,1.443792636218234294e-03,1.469614673830273999e-01,1.468731872543448114e-01,8.342498810504134221e-01,8.395353201934393494e-01,4.208491243546497884e+01,4.211570267906579090e+01,5.370008573631386284e-01,5.366963319734131543e-01
6.000000000000000888e-01,6.517417692740450352e-01,6.550196861966814943e-01,1.127922187564034534e-01,2.387635811319789580e-02,2.955341061631458401e-03,2.954547417976557087e-03,2.113598164977528449e-01,2.112348387782210790e-01,8.342737110767042275e-01,8.395578069410655209e-01,4.207743360838892244e+01,4.210820841482158272e+01,5.370540313761817952e-01,5.367504128494997584e-01
7.000000000000000666e-01,6.437178558150361551e-01,6.469469709125521550e-01,1.230476531429453013e-01,3.224326553603600043e-02,5.390761174432334019e-03,5.389327286636207137e-03,2.872808294641440163e-01,2.871137914755473308e-01,8.343218132385561425e-01,8.396031801821145502e-01,4.206225085532694408e+01,4.209299428767751294e+01,5.372099505025610400e-01,5.369080336301402800e-01
8.000000000000000444e-01,6.359660863907684591e-01,6.391471262276841037e-01,1.379274710009917027e-01,4.173283831527574428e-02,9.033930389595478186e-03,9.031549857547562302e-03,3.746328901478908624e-01,3.744189564903638301e-01,8.344078480052843361e-01,8.396842947127650669e-01,4.203491086446592817e+01,4.206559770973844081e+01,5.375335733979378361e-01,5.372345883349670670e-01
9.000000000000000222e-01,6.285512574048385259e-01,6.316849377285367328e-01,1.580661765533945828e-01,5.227779381338769349e-02,1.418269968165845191e-02,1.417899716461643034e-02,4.733061125452257545e-01,4.730412281463859392e-01,8.345481711516177237e-01,8.398165128575970639e-01,4.198996202903805397e+01,4.202055564335187654e+01,5.381042271456376591e-01,5.378099301856502645e-01
1.000000000000000000e+00,6.215466471052640829e-01,6.246336730070387588e-01,1.837437822019955813e-01,6.380394232324232417e-02,2.113903389464658056e-02,2.113356794087578594e-02,5.831716548431683522e-01,5.828520901029828893e-01,8.347606705617393041e-01,8.400165881738159701e-01,4.192124880845040735e+01,4.195169952949314762e+01,5.390113594152676768e-01,5.387240896733115347e-01
1.100000000000000089e+00,6.150286116106320478e-01,6.180696776843340734e-01,2.148031024204976047e-01,7.623088205772056425e-02,3.019870694701096495e-02,3.019097567557928186e-02,7.040794444260419782e-01,7.037033304442036341e-01,8.350630607584969001e-01,8.403010358839246852e-01,4.182236815103534155e+01,4.185261263580994040e+01,5.403480622049247062e-01,5.400707467289185271e-01
1.200000000000000178e+00,6.090700300574144466e-01,6.120658205557401033e-01,2.506391869317735610e-01,8.947273396662062950e-02,4.164126833940588052e-02,4.163072289790373942e-02,8.358603016182952761e-01,8.354252998129221286e-01,8.354708468343736705e-01,8.406841940179555772e-01,4.168723107811533879e+01,4.171719283544071999e+01,5.422031973298674368e-01,5.419392931691616733e-01
1.300000000000000044e+00,6.037336900168346343e-01,6.066848790052847828e-01,2.902689611264726022e-01,1.034389055065454976e-01,5.572058743737685199e-02,5.570664499743652881e-02,9.783256406525151494e-01,9.778278978871484117e-01,8.359953042883490060e-01,8.411763076137800388e-01,4.151063530927680034e+01,4.154022652415561367e+01,5.446534334079460304e-01,5.444068054760772268e-01
1.400000000000000133e+00,5.990668082008052675e-01,6.019740597093525825e-01,3.324641648938179705e-01,1.180348726441802082e-01,7.265622009503394652e-02,7.263827521199991977e-02,1.131262680239967899e+00,1.130699640559000407e+00,8.366418664155427232e-01,8.417820101113601128e-01,4.128874268974783490e+01,4.131786721731413081e+01,5.477566283413389803e-01,5.475313740126588335e-01
1.500000000000000000e+00,5.950976119452677793e-01,5.979615801177666778e-01,3.759122155904115470e-01,1.331629697395128320e-01,9.262578338515543852e-02,9.260323660188513051e-02,1.294439316256348116e+00,1.293810695497109142e+00,8.374092302209851235e-01,8.424994969704687753e-01,4.101937677914801128e+01,4.104793398105463353e+01,5.515476677966639762e-01,5.513479093897931671e-01
1.600000000000000089e+00,5.918343665262100206e-01,5.946556957675818156e-01,4.193660251936775496e-01,1.487231775037961001e-01,1.157585342503276993e-01,1.157308248289015823e-01,1.467610182894480975e+00,1.466914981482836167e+00,8.382893115838967457e-01,8.433205124829185051e-01,4.070210337577636039e+01,4.072999234115148681e+01,5.560372250779725967e-01,5.558668965418428476e-01
1.700000000000000178e+00,5.892666474438916779e-01,5.920459725651182614e-01,4.617544532216548148e-01,1.646138999280062631e-01,1.421302699276965620e-01,1.420969033458014952e-01,1.650516441116560040e+00,1.649751260393228502e+00,8.392679760826696755e-01,8.442310748706443047e-01,4.033810995649655951e+01,4.036523362406443738e+01,5.612132114754144752e-01,5.610758645408998602e-01
1.800000000000000044e+00,5.873682381949649756e-01,5.901061845559240071e-01,5.022423040956528473e-01,1.807327219029689347e-01,1.717596175740499498e-01,1.717201836724864816e-01,1.842895183409552162e+00,1.842055326568381890e+00,8.403263213641034568e-01,8.452127218267732056e-01,3.992993907462270897e+01,3.995620784504933454e+01,5.670441901189692269e-01,5.669428390462254441e-01
1.900000000000000133e+00,5.861008781467487161e-01,5.887980617969222896e-01,5.402440483176181862e-01,1.969771401757028639e-01,2.046057340354375254e-01,2.045599345281576553e-01,2.044493820971235110e+00,2.043566484706166086e+00,8.414422288456560040e-01,8.462440050845942974e-01,3.948114603368344433e+01,3.950648059603852147e+01,5.734838406216680173e-01,5.734208560124343101e-01
2.000000000000000000e+00,5.854181588946404391e-01,5.880751867117286480e-01,5.754040993591694741e-01,2.132452612831467476e-01,2.405674528840970605e-01,2.405150830583024923e-01,2.255059857534487566e+00,2.254041318676099692e+00,8.425919281709086661e-01,8.473019891268027681e-01,3.899594501478851072e+01,3.902027826369392471e+01,5.804756452726985705e-01,5.804526988823285327e-01
2.100000000000000089e+00,5.852690689714579175e-01,5.878865387979289592e-01,6.075583882555917192e-01,2.294364611508825647e-01,2.794836279328017370e-01,2.794246644120373380e-01,2.474381125466049269e+00,2.473268117115075881e+00,8.437513913689804745e-01,8.483635808003419099e-01,3.847888947599462028e+01,3.850216753016508164e+01,5.879572001015157534e-01,5.879752559869907413e-01
2.200000000000000178e+00,5.856009137031666922e-01,5.881794144807740432e-01,6.366895487678834176e-01,2.454520021183053957e-01,3.211348504861446518e-01,3.210694649251157329e-01,2.702286549908271329e+00,2.701078565632125894e+00,8.448974577130322627e-01,8.494065974322987378e-01,3.793461163588616358e+01,3.795679406418202717e+01,5.958638168804522017e-01,5.959231602508265890e-01
2.300000000000000266e+00,5.863615243876072469e-01,5.889016362899041068e-01,6.628839619826445428e-01,2.611956042308646309e-01,3.652461598677688714e-01,3.651746868998393958e-01,2.938679428922809311e+00,2.937354004361180326e+00,8.460086605125402004e-01,8.504105480012965623e-01,3.736762841975764360e+01,3.738868783316419808e+01,6.041313001847088415e-01,6.042315937940758719e-01
2.400000000000000355e+00,5.875007950602431084e-01,5.900030896231234223e-01,6.862950455414235096e-01,2.765739687027267135e-01,4.114904675932882783e-01,4.114133273602237906e-01,3.183496219060661936e+00,3.182024149335138663e+00,8.470657742040791360e-01,8.513571464526152877e-01,3.678220972432442437e+01,3.680213090772893736e+01,6.126979297194995455e-01,6.128382879190111820e-01
2.500000000000000000e+00,5.889716498282770996e-01,5.914366900785743564e-01,7.071143176377930883e-01,2.914972524780710117e-01,4.594924147964773442e-01,4.594100259536360586e-01,3.436719144015995209e+00,3.435060499760473895e+00,8.480521250928489962e-01,8.522305995594765538e-01,3.618229892336960063e+01,3.620107767064905602e+01,6.215057565534755080e-01,6.216848284652295442e-01
2.600000000000000089e+00,5.907305650020804322e-01,5.931589055842504399e-01,7.255500222686281919e-01,3.058794937854499296e-01,5.088322134338717495e-01,5.087450081523371415e-01,3.698296922999299685e+00,3.696433946829013717e+00,8.489537175164314498e-01,8.530177193099199862e-01,3.557147369638254020e+01,3.558911548738440445e+01,6.305013504963604687e-01,6.307174055742209573e-01
2.700000000000000178e+00,5.927377652245471307e-01,5.951299525254654110e-01,7.418122427857823942e-01,3.196389894679104171e-01,5.590495519205214148e-01,5.589577686000556378e-01,3.968196920170549813e+00,3.966055780811345688e+00,8.497592253246311067e-01,8.537079076793169241e-01,3.495293587963926996e+01,3.496945450714769521e+01,6.396361339134492008e-01,6.398871449933487554e-01
2.800000000000000266e+00,5.949571950501205686e-01,5.973137673220221266e-01,7.561031527621598913e-01,3.326986256645290685e-01,6.096465529172528930e-01,6.095502627101395676e-01,4.246128232469446040e+00,4.243683898510126618e+00,8.504598914945493693e-01,8.542930546935039171e-01,3.432952082332861465e+01,3.434493704809226955e+01,6.488664200163815066e-01,6.491501405932444957e-01
2.900000000000000355e+00,5.973563458012598471e-01,5.996778332828474056e-01,7.686110993803751956e-01,3.449861641022387015e-01,6.600899738547216788e-01,6.599893472053242061e-01,4.531556163869318254e+00,4.528787248097130735e+00,8.510493698757440884e-01,8.547673821563328556e-01,3.370371885065473094e+01,3.371805913634361929e+01,6.581532511186417578e-01,6.584672849173309750e-01
3.000000000000000000e+00,5.999059969158083705e-01,6.021929219515593790e-01,7.795074073190155772e-01,3.564344868193041194e-01,7.098134460575187266e-01,7.097087168289268888e-01,4.823493246407596580e+00,4.820373067233150621e+00,8.515235344799658712e-01,8.551272571783589127e-01,3.307770339774652513e+01,3.309099875663984136e+01,6.674621101163186188e-01,6.678039720352375586e-01
3.100000000000000089e+00,6.025799135612663893e-01,6.048327907189618990e-01,7.889450246928655375e-01,3.669818025763765812e-01,7.582192422696349965e-01,7.581105532029523975e-01,5.120315767242037630e+00,5.116798431069297770e+00,8.518802743444807701e-01,8.553709925824614091e-01,3.245336206947914803e+01,3.246564703383844375e+01,6.767625591521015949e-01,6.771297273818512874e-01
3.200000000000000178e+00,6.053545285916756002e-01,6.075738647781804280e-01,7.970583527727498341e-01,3.765718185146373909e-01,8.046800913845032488e-01,8.045676768096189369e-01,5.419440464471128038e+00,5.415552015698088972e+00,8.521192861095572280e-01,8.554986456486943780e-01,3.183232813129705008e+01,3.184363985415346576e+01,6.860278438466388407e-01,6.864178034530160621e-01
3.300000000000000266e+00,6.082086267044072292e-01,6.103949212797262769e-01,8.039637856956936002e-01,3.851538807939290932e-01,8.485426581653643385e-01,8.484273597023883617e-01,5.717290481892873366e+00,5.713081067250347367e+00,8.522418720094235844e-01,8.555118224365565460e-01,3.121601090217729535e+01,3.122638838380010640e+01,6.952344895085343923e-01,6.956447680725978966e-01
3.400000000000000355e+00,6.111230413344816981e-01,6.132767862241178536e-01,8.097606304070317229e-01,3.926830879913424943e-01,8.891344872468031069e-01,8.890179512448126431e-01,6.009120817226312639e+00,6.004678353719798523e+00,8.522507477737487624e-01,8.554134918838058876e-01,3.060562417956180070e+01,3.061510761129483882e+01,7.043619068402772188e-01,7.047901029163951003e-01
3.500000000000000000e+00,6.140803697576957543e-01,6.162020495633354633e-01,8.145321841695701837e-01,3.991203809699586658e-01,9.257755775677708465e-01,9.256598841893836083e-01,6.289130163954983033e+00,6.284472224459670464e+00,8.521498627199874942e-01,8.552078117820638425e-01,3.000221227810514080e+01,3.001084249277399607e+01,7.133920182204288585e-01,7.138358234459416529e-01
3.600000000000000089e+00,6.170647084773355218e-01,6.191548005858857895e-01,8.183468236795728989e-01,4.044326127481672195e-01,9.577946669452521711e-01,9.576818724575733022e-01,6.550418650257312514e+00,6.545588421058282869e+00,8.519442328447422996e-01,8.548999673394741539e-01,2.940667355778944270e+01,2.941449157485456567e+01,7.223089110819267411e-01,7.227661267803906497e-01
3.700000000000000178e+00,6.200614087652895901e-01,6.221203834562927248e-01,8.212590130503358843e-01,4.085926016238173863e-01,9.845502148299593026e-01,9.844426117778223295e-01,6.785347242665630496e+00,6.780464143202974192e+00,8.516397867904602625e-01,8.544960221643033149e-01,2.881978149958776569e+01,2.882682815315345692e+01,7.310985217369077027e-01,7.315670708239876419e-01
3.800000000000000266e+00,6.230568508496046043e-01,6.250851714010520199e-01,8.233101737592419811e-01,4.115791704471473689e-01,1.005456885298524172e+00,1.005357327248229460e+00,6.986169050016607152e+00,6.981349861481628061e+00,8.512432240108994685e-01,8.540027809865620156e-01,2.824220349354525794e+01,2.824851913186818564e+01,7.397483508382910466e-01,7.402262857820441910e-01
3.900000000000000355e+00,6.260382344157706669e-01,6.280363572083439427e-01,8.245293830371900334e-01,4.133771745052287616e-01,1.020015733741784780e+00,1.019926886658135912e+00,7.145620937046704313e+00,7.140912950394453951e+00,8.507618841632279549e-01,8.534276631615634878e-01,2.767451756049782929e+01,2.768014180651414691e+01,7.482472102287588411e-01,7.487327177459982552e-01
