time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
0.000000000000000000e+00,3.306644047749736637e-01,9.999999999999999167e-02,0.000000000000000000e+00,3.844584303602355003e-33,3.411990467037075335e-17,9.089522733755199813e-01,4.500000000000000000e+01,5.000000000000000000e-01
1.000000000000000056e-01,3.272302591852603304e-01,1.000041468721356852e-01,4.263736997598818398e-04,9.333560666687675690e-07,3.647691023866860092e-03,9.089522733755199813e-01,4.500000000000000000e+01,5.000000000000000000e-01
2.000000000000000111e-01,3.238473031013812675e-01,1.000661901772114531e-01,1.703493189098408741e-03,1.489732977540680428e-05,1.458438730530312033e-02,9.089522938342293745e-01,4.499999482152119157e+01,5.000000675005322748e-01
3.000000000000000444e-01,3.205156363764723459e-01,1.003336801393983763e-01,3.825367160959300232e-03,7.511878345487045863e-05,3.279690203469894788e-02,9.089526203849221941e-01,4.499991216549243234e+01,5.000011442427161334e-01
4.000000000000000222e-01,3.172375541136989163e-01,1.010479813029422913e-01,6.782055009872603978e-03,2.361094808665047898e-04,5.826679537307376949e-02,9.089542665651113573e-01,4.499949547967470664e+01,5.000065672414316653e-01
5.000000000000000000e-01,3.140189106965043386e-01,1.025362475804914020e-01,1.055973360181765124e-02,5.724000642572483208e-04,9.096967050742543748e-02,9.089594362062314303e-01,4.499818683043900336e+01,5.000235778452017943e-01
6.000000000000000888e-01,3.108703440351279212e-01,1.051980341680461978e-01,1.514078958727618079e-02,1.176817384913214507e-03,1.308743090086762206e-01,9.089719442738916078e-01,4.499501989444116390e+01,5.000646823949340680e-01
7.000000000000000666e-01,3.078082822638492644e-01,1.094849904419637615e-01,2.050393612566949256e-02,2.158347669893900898e-03,1.779417008560844615e-01,9.089975655627018369e-01,4.498852997439339418e+01,5.001487746979017546e-01
8.000000000000000444e-01,3.048556331170855782e-01,1.158725478062287567e-01,2.662435261146240545e-02,3.639638182554853340e-03,2.321240377953984191e-01,9.090442688209372513e-01,4.497669009706598331e+01,5.003019098367375017e-01
9.000000000000000222e-01,3.020420415289780114e-01,1.248236760809782880e-01,3.347384574569372412e-02,5.754198584237093898e-03,2.933637585038311180e-01,9.091222834291029509e-01,4.495688387245282058e+01,5.005576070707847824e-01
